Plate,Row,Column,Phenotypes.ExperimentGrowthYield,Phenotypes.GenerationTime,Phenotypes.ExperimentPopulationDoublings,Phenotypes.ExperimentBaseLine,Phenotypes.ColonySize48h
0,2,15,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
0,2,16,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
0,2,17,-8.092112833,0.041507872,-1.339545841,-3.888614833,-8.04677318
0,2,18,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
0,2,19,-8.018195719,1.014842063,-1.77499888,-2.945819485,-8.037869921
0,2,20,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
0,2,21,-8.048351646,1.151559102,-2.232309817,-2.22715116,-7.459773098
0,2,22,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
0,2,23,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
0,2,24,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
0,2,25,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
0,2,26,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
0,2,27,-7.96398252,0.773169503,-1.985024334,-2.542164061,-7.2127498
0,2,28,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
0,2,29,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
0,2,30,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
0,2,31,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
0,2,32,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
0,2,33,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
0,2,34,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
0,2,35,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
0,2,36,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
0,2,37,-8.094285823,0.980779741,-1.741520482,-3.289613388,-7.336261249
0,2,38,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
0,2,39,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
0,2,40,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
0,2,41,-8.16959112,0.845230328,-2.052373692,-3.067456344,-7.646038232
0,2,42,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
0,2,43,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
0,2,44,-0.240214554,0.056939626,-0.12073726,0.183910706,-0.168135927
0,2,45,-0.345211001,0.003212365,-0.085280949,-0.005062721,-0.249315063
0,2,46,-0.269046765,0.044867942,-0.05890422,-0.061857029,-0.186250037
0,2,47,-0.111647902,0.021775486,-0.023225656,-0.031105748,-0.070387456
0,3,0,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
0,3,1,0,0,0,0,0
0,3,2,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
0,3,3,0,0,0,0,0
0,3,4,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
0,3,5,0,0,0,0,0
0,3,6,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
0,3,7,0,0,0,0,0
0,3,8,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
0,3,9,0,0,0,0,0
0,3,10,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
0,3,11,0,0,0,0,0
0,3,12,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
0,3,13,0,0,0,0,0
0,3,14,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
0,3,15,0,0,0,0,0
0,3,16,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
0,3,17,0,0,0,0,0
0,3,18,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
0,3,19,0,0,0,0,0
0,3,20,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
0,3,21,0,0,0,0,0
0,3,22,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
0,3,23,0,0,0,0,0
0,3,24,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
0,3,25,0,0,0,0,0
0,3,26,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
0,3,27,0,0,0,0,0
0,3,28,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
0,3,29,0,0,0,0,0
0,3,30,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
0,3,31,0,0,0,0,0
0,3,32,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
0,3,33,0,0,0,0,0
0,3,34,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
0,3,35,0,0,0,0,0
0,3,36,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
0,3,37,0,0,0,0,0
0,3,38,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
0,3,39,0,0,0,0,0
0,3,40,NoGrowth,NoGrowth,-1.624585252,-6.993027054,-11.56556234
0,3,41,0,0,0,0,0
0,3,42,NoGrowth,NoGrowth,NoGrowth,NoGrowth,NoGrowth
0,3,43,0,0,0,0,0
0,3,44,-0.1764603,-0.040344489,-0.061327651,-0.001416821,-0.154418463
0,3,45,0,0,0,0,0
0,3,46,-0.150805806,0.00382998,-0.009173,-0.06907046,-0.104931796
0,3,47,0,0,0,0,0
0,4,0,-0.092886925,-0.009422352,-0.013361749,-0.031520737,-0.06425636
0,4,1,-0.146696034,-0.018069214,-0.003334135,-0.092429718,-0.067394486
0,4,2,-0.149746291,0.011563956,-0.036776136,0.01387453,-0.098886721
0,4,3,-0.149568078,-0.001699777,-0.016497695,-0.059107952,-0.088467202
0,4,4,-0.115294825,0.024777674,-0.033362722,0.051906552,-0.069650644
0,4,5,-0.129077827,-0.003711657,0.001740642,-0.112768882,-0.089179666
0,4,6,-0.224649502,-0.039553386,-0.009770466,-0.176748879,-0.194220171
0,4,7,-0.225790179,-0.061379072,-0.004182883,-0.200941332,-0.185138642
0,4,8,-0.086634979,-0.03561551,0.005157439,-0.064116037,-0.071270738
0,4,9,-0.092158837,-0.022774286,0.013501683,-0.122346668,-0.066704612
0,4,10,-0.064396577,-0.001179903,0.033290798,-0.09187905,-0.068949858
0,4,11,-0.084161055,0.018332774,0.002735649,-0.073788078,-0.116037941
0,4,12,-0.055665636,-0.043903276,0.016723925,-0.164924177,-0.012852563
0,4,13,-0.042954909,-0.074893162,0.023116617,-0.14843772,-0.006766494
0,4,14,-0.031865179,-0.024669843,0.016413442,-0.149837723,0.002745902
0,4,15,-0.121463102,0.002297055,-0.009673915,-0.079869821,-0.089741088
0,4,16,-0.192026993,0.014756391,-0.008187976,-0.16579946,-0.174668614
0,4,17,-0.168051537,-0.033185988,-0.014601642,-0.115433484,-0.131431013
0,4,18,-0.087210725,-0.001669682,0.01639226,-0.129808615,-0.110899908
0,4,19,-0.053228335,-0.027037237,0.01122807,-0.070256848,-0.112294053
0,4,20,-0.096657969,-0.045586453,-0.002067108,-0.08805446,-0.077585471
0,4,21,-0.106131979,-0.042161667,0.015827876,-0.168418481,-0.086824324
0,4,22,-0.192617565,-0.00986338,-0.010446519,-0.128994036,-0.169772739
0,4,23,-0.304176111,0.076399454,-0.043621784,-0.111895276,-0.27162899
0,4,24,-0.197110878,0.009785939,-0.02777385,-0.072863314,-0.141644762
0,4,25,-0.16339735,-0.049628709,-0.013336153,-0.085018501,-0.102279537
0,4,26,-0.439648005,0.034880783,-0.135353967,0.085949867,-0.424135629
0,4,27,-0.501228075,0.039619773,-0.125615881,0.000538378,-0.475498564
0,4,28,-0.057569686,0.027792101,-0.009686919,0.030468273,-0.054057801
0,4,29,-0.083675559,-0.001851323,-0.002468074,-0.046740717,-0.08066748
0,4,30,-0.108827539,0.015218956,-0.024474077,-0.029365587,-0.065128826
0,4,31,-0.099634828,0.010308284,-0.054081316,0.109540316,-0.057479382
0,4,32,-0.040703604,0.016852694,-0.021341942,0.04571543,-0.039122548
0,4,33,-0.085091719,0.037667504,-0.014944231,-0.012243812,-0.086657921
0,4,34,-0.138464421,0.008830142,-0.033635463,0.020080895,-0.125124826
0,4,35,-0.185566157,0.006339611,-0.037797093,-0.014652531,-0.153682908
0,4,36,-0.035698301,0.017224087,-0.03770855,0.146140782,0.001244758
0,4,37,-0.042956434,0.019861926,-0.039687285,0.136151093,-0.020830108
0,4,38,-0.026608147,0.003561292,-0.021793186,0.088993724,-0.017873503
0,4,39,-0.065796721,-0.02337877,-0.028200907,0.05319331,-0.04448789
0,4,40,-0.044162345,-0.012599713,-0.037003575,0.108214337,-0.027807869
0,4,41,-0.073804686,-0.0236487,-0.025267506,0.035010119,-0.039100955
0,4,42,0.044759227,-0.014914677,-0.010451374,0.058320192,0.0526922
0,4,43,0.015600941,-0.036080671,-0.006657459,0.019902569,0.023289209
0,4,44,0.037404179,0.049927377,-0.002708734,-0.012670525,-0.001447135
0,4,45,0.139148739,-0.08203934,0.067039638,-0.017375422,0.105089572
0,4,46,-0.280661759,-0.067216023,-0.042872944,-0.003952329,-0.239606908
0,4,47,-0.265794432,-0.044531336,-0.075049519,0.018083774,-0.240546483
0,5,0,0.524228052,0.054384274,0.096428542,0.122415601,0.359329529
0,5,1,0,0,0,0,0
0,5,2,-0.123955921,0.05319336,0.018984588,-0.203197083,-0.127156992
0,5,3,0,0,0,0,0
0,5,4,-0.042620007,0.013014453,0.012992792,-0.066821012,-0.042479626
0,5,5,0,0,0,0,0
0,5,6,-0.230796364,0.078223389,-0.017875057,-0.175839356,-0.247244916
0,5,7,0,0,0,0,0
0,5,8,0.020535941,-0.028988981,0.020963078,-0.082064349,0.018735918
0,5,9,0,0,0,0,0
0,5,10,0.159324459,-0.018723683,0.047011301,0.006989889,0.068763036
0,5,11,0,0,0,0,0
0,5,12,0.00748659,-0.02858018,0.017047476,-0.046583426,0.005195558
0,5,13,0,0,0,0,0
0,5,14,0.017094676,-0.00309095,-0.002854527,0.018296109,0.022867721
0,5,15,0,0,0,0,0
0,5,16,-0.081201447,0.025445064,-0.014061978,-0.026547477,-0.0798735
0,5,17,0,0,0,0,0
0,5,18,0.030488427,0.025077938,0.025790861,-0.048617845,-0.035002425
0,5,19,0,0,0,0,0
0,5,20,-0.014575247,-0.028148312,0.019686456,-0.102086797,-0.028011171
0,5,21,0,0,0,0,0
0,5,22,-0.136209331,-0.01109778,-0.016372146,-0.065823533,-0.134134938
0,5,23,0,0,0,0,0
0,5,24,-0.067287163,-0.036951625,0.016941014,-0.14220613,-0.055395706
0,5,25,0,0,0,0,0
0,5,26,-0.291535731,-0.050317934,-0.060475453,-0.084586973,-0.310557181
0,5,27,0,0,0,0,0
0,5,28,-0.024251394,0.021054596,-0.002928532,0.010145685,-0.031906291
0,5,29,0,0,0,0,0
0,5,30,-0.020275358,0.050037478,-0.010378278,0.00820232,-0.025330934
0,5,31,0,0,0,0,0
0,5,32,-0.014829906,0.046892213,-0.003625155,-0.005837086,-0.035810801
0,5,33,0,0,0,0,0
0,5,34,-0.069148987,0.009250138,-0.022383883,0.005352019,-0.066941426
0,5,35,0,0,0,0,0
0,5,36,0.042624912,-0.011869332,-0.027748756,0.132339694,0.06291265
0,5,37,0,0,0,0,0
0,5,38,-0.08547746,0.021185747,-0.008864744,-0.039830455,-0.087266968
0,5,39,0,0,0,0,0
0,5,40,0.025398265,-0.025191122,0.02254387,-0.057623334,0.01995642
0,5,41,0,0,0,0,0
0,5,42,0.016255793,-0.026426859,0.002707059,0.001626967,0.02294412
0,5,43,0,0,0,0,0
0,5,44,0.039630044,-0.028448432,0.012703518,0.093829959,0.03308291
0,5,45,0,0,0,0.199324036,0
0,5,46,-0.283212681,-0.084571451,-0.031567058,0.011419087,-0.235386256
0,5,47,0,0,0,0,0
0,6,0,0.270201326,0.1104614,0.031982268,0.139691029,0.175832598
